sex,age,deprivation,hsct,geo,wellbeing,probability,percentage
Females,65-74,Quintile 3,SEHSCT,Urban,good_wellbeing,5.676508901476655e-4,0.05676508901476655
Males,75-110,Quintile 3,SEHSCT,Urban,good_wellbeing,6.755045592757218e-4,0.06755045592757218
Females,75-110,Quintile 3,SEHSCT,Urban,good_wellbeing,6.073864524580019e-4,0.06073864524580019
Males,16-34,Quintile 4,SEHSCT,Urban,good_wellbeing,6.359812029056273e-4,0.06359812029056273
Females,16-34,Quintile 4,SEHSCT,Urban,good_wellbeing,5.213899951748836e-4,0.05213899951748836
Males,35-44,Quintile 4,SEHSCT,Urban,good_wellbeing,6.417107632921645e-4,0.06417107632921645
Females,35-44,Quintile 4,SEHSCT,Urban,good_wellbeing,5.271195555614208e-4,0.05271195555614208
Males,45-54,Quintile 4,SEHSCT,Urban,good_wellbeing,6.016038405864041e-4,0.06016038405864041
Females,45-54,Quintile 4,SEHSCT,Urban,good_wellbeing,5.09930874401809e-4,0.0509930874401809
Males,55-64,Quintile 4,SEHSCT,Urban,good_wellbeing,6.3025164251909e-4,0.063025164251909
Females,55-64,Quintile 4,SEHSCT,Urban,good_wellbeing,5.271195555614209e-4,0.05271195555614209
Males,65-74,Quintile 4,SEHSCT,Urban,good_wellbeing,6.531698840652383e-4,0.06531698840652383
Females,65-74,Quintile 4,SEHSCT,Urban,good_wellbeing,5.729560386537183e-4,0.05729560386537182
Males,75-110,Quintile 4,SEHSCT,Urban,good_wellbeing,6.81817685997925e-4,0.0681817685997925
Females,75-110,Quintile 4,SEHSCT,Urban,good_wellbeing,6.130629613594784e-4,0.06130629613594784
Males,16-34,Least Deprived,SEHSCT,Urban,good_wellbeing,6.654247771142207e-4,0.06654247771142208
Females,16-34,Least Deprived,SEHSCT,Urban,good_wellbeing,5.455284208774242e-4,0.054552842087742415
Males,35-44,Least Deprived,SEHSCT,Urban,good_wellbeing,6.714195949260608e-4,0.06714195949260608
Females,35-44,Least Deprived,SEHSCT,Urban,good_wellbeing,5.515232386892638e-4,0.055152323868926385
Males,45-54,Least Deprived,SEHSCT,Urban,good_wellbeing,6.29455870243182e-4,0.0629455870243182
Females,45-54,Least Deprived,SEHSCT,Urban,good_wellbeing,5.335387852537444e-4,0.05335387852537444
Males,55-64,Least Deprived,SEHSCT,Urban,good_wellbeing,6.594299593023808e-4,0.06594299593023809
Females,55-64,Least Deprived,SEHSCT,Urban,good_wellbeing,5.515232386892642e-4,0.05515232386892641
Males,65-74,Least Deprived,SEHSCT,Urban,good_wellbeing,0.00068340923054974005,0.06834092305497401
Females,65-74,Least Deprived,SEHSCT,Urban,good_wellbeing,5.994817811839829e-4,0.05994817811839829
Males,75-110,Least Deprived,SEHSCT,Urban,good_wellbeing,7.133833196089397e-4,0.07133833196089398
Females,75-110,Least Deprived,SEHSCT,Urban,good_wellbeing,6.414455058668615e-4,0.06414455058668614
Males,16-34,Most Deprived,SHSCT,Urban,good_wellbeing,5.290870077788089e-4,0.05290870077788089
Females,16-34,Most Deprived,SHSCT,Urban,good_wellbeing,4.337560153862305e-4,0.043375601538623056
Males,35-44,Most Deprived,SHSCT,Urban,good_wellbeing,5.338535573984378e-4,0.05338535573984378
Females,35-44,Most Deprived,SHSCT,Urban,good_wellbeing,4.385225650058594e-4,0.04385225650058594
Males,45-54,Most Deprived,SHSCT,Urban,good_wellbeing,5.004877100610356e-4,0.050048771006103554
Females,45-54,Most Deprived,SHSCT,Urban,good_wellbeing,4.242229161469728e-4,0.04242229161469728
Males,55-64,Most Deprived,SHSCT,Urban,good_wellbeing,5.243204581591798e-4,0.052432045815917976
Females,55-64,Most Deprived,SHSCT,Urban,good_wellbeing,4.385225650058597e-4,0.04385225650058597
Males,65-74,Most Deprived,SHSCT,Urban,good_wellbeing,5.433866566376954e-4,0.054338665663769534
Females,65-74,Most Deprived,SHSCT,Urban,good_wellbeing,4.766549619628909e-4,0.04766549619628909
Males,75-110,Most Deprived,SHSCT,Urban,good_wellbeing,5.672194047358403e-4,0.05672194047358403
Females,75-110,Most Deprived,SHSCT,Urban,good_wellbeing,5.100208093002931e-4,0.051002080930029316
Males,16-34,Quintile 2,SHSCT,Urban,good_wellbeing,5.885349861809224e-4,0.05885349861809225
Females,16-34,Quintile 2,SHSCT,Urban,good_wellbeing,4.8249264632850374e-4,0.048249264632850376
Males,35-44,Quintile 2,SHSCT,Urban,good_wellbeing,5.938371031735433e-4,0.05938371031735433
Females,35-44,Quintile 2,SHSCT,Urban,good_wellbeing,4.8779476332112457e-4,0.04877947633211246
Males,45-54,Quintile 2,SHSCT,Urban,good_wellbeing,5.567222842251969e-4,0.05567222842251969
Females,45-54,Quintile 2,SHSCT,Urban,good_wellbeing,4.71888412343262e-4,0.0471888412343262
Males,55-64,Quintile 2,SHSCT,Urban,good_wellbeing,5.832328691883013e-4,0.05832328691883013
Females,55-64,Quintile 2,SHSCT,Urban,good_wellbeing,4.877947633211249e-4,0.04877947633211249
Males,65-74,Quintile 2,SHSCT,Urban,good_wellbeing,6.044413371587851e-4,0.060444133715878506
Females,65-74,Quintile 2,SHSCT,Urban,good_wellbeing,5.302116992620924e-4,0.05302116992620924
Males,75-110,Quintile 2,SHSCT,Urban,good_wellbeing,6.3095192212189e-4,0.063095192212189
Females,75-110,Quintile 2,SHSCT,Urban,good_wellbeing,5.673265182104386e-4,0.05673265182104386
Males,16-34,Quintile 3,SHSCT,Urban,good_wellbeing,6.36093368902613e-4,0.0636093368902613
Females,16-34,Quintile 3,SHSCT,Urban,good_wellbeing,5.214819510823221e-4,0.05214819510823221
Males,35-44,Quintile 3,SHSCT,Urban,good_wellbeing,6.418239397936274e-4,0.06418239397936273
Females,35-44,Quintile 3,SHSCT,Urban,good_wellbeing,5.272125219733364e-4,0.05272125219733364
Males,45-54,Quintile 3,SHSCT,Urban,good_wellbeing,6.017099435565257e-4,0.060170994355652575
Females,45-54,Quintile 3,SHSCT,Urban,good_wellbeing,5.100208093002931e-4,0.051002080930029316
Males,55-64,Quintile 3,SHSCT,Urban,good_wellbeing,6.303627980115983e-4,0.06303627980115983
Females,55-64,Quintile 3,SHSCT,Urban,good_wellbeing,5.272125219733367e-4,0.05272125219733367
Males,65-74,Quintile 3,SHSCT,Urban,good_wellbeing,6.532850815756563e-4,0.06532850815756562
Females,65-74,Quintile 3,SHSCT,Urban,good_wellbeing,5.730570891014532e-4,0.05730570891014532
Males,75-110,Quintile 3,SHSCT,Urban,good_wellbeing,6.819379360307292e-4,0.06819379360307293
Females,75-110,Quintile 3,SHSCT,Urban,good_wellbeing,6.131710853385549e-4,0.0613171085338555
Males,16-34,Quintile 4,SHSCT,Urban,good_wellbeing,6.420381667428243e-4,0.06420381667428243
Females,16-34,Quintile 4,SHSCT,Urban,good_wellbeing,5.263556141765497e-4,0.05263556141765497
Males,35-44,Quintile 4,SHSCT,Urban,good_wellbeing,6.478222943711379e-4,0.06478222943711379
Females,35-44,Quintile 4,SHSCT,Urban,good_wellbeing,5.321397418048632e-4,0.053213974180486324
Males,45-54,Quintile 4,SHSCT,Urban,good_wellbeing,6.073334009729419e-4,0.06073334009729418
Females,45-54,Quintile 4,SHSCT,Urban,good_wellbeing,5.147873589199219e-4,0.05147873589199219
Males,55-64,Quintile 4,SHSCT,Urban,good_wellbeing,6.362540391145105e-4,0.06362540391145105
Females,55-64,Quintile 4,SHSCT,Urban,good_wellbeing,5.321397418048636e-4,0.05321397418048636
Males,65-74,Quintile 4,SHSCT,Urban,good_wellbeing,6.593905496277651e-4,0.06593905496277651
Females,65-74,Quintile 4,SHSCT,Urban,good_wellbeing,5.784127628313732e-4,0.05784127628313732
Males,75-110,Quintile 4,SHSCT,Urban,good_wellbeing,6.883111877693344e-4,0.06883111877693344
Females,75-110,Quintile 4,SHSCT,Urban,good_wellbeing,6.189016562295692e-4,0.06189016562295692
Males,16-34,Least Deprived,SHSCT,Urban,good_wellbeing,6.717621559438805e-4,0.06717621559438805
Females,16-34,Least Deprived,SHSCT,Urban,good_wellbeing,5.507239296476858e-4,0.05507239296476858
Males,35-44,Least Deprived,SHSCT,Urban,good_wellbeing,6.778140672586904e-4,0.06778140672586903
Females,35-44,Least Deprived,SHSCT,Urban,good_wellbeing,5.567758409624954e-4,0.05567758409624954
Males,45-54,Least Deprived,SHSCT,Urban,good_wellbeing,6.354506880550224e-4,0.06354506880550224
Females,45-54,Least Deprived,SHSCT,Urban,good_wellbeing,5.386201070180664e-4,0.053862010701806635
Males,55-64,Least Deprived,SHSCT,Urban,good_wellbeing,6.657102446290709e-4,0.0665710244629071
Females,55-64,Least Deprived,SHSCT,Urban,good_wellbeing,5.567758409624956e-4,0.055677584096249566
Males,65-74,Least Deprived,SHSCT,Urban,good_wellbeing,6.899178898883097e-4,0.06899178898883097
Females,65-74,Least Deprived,SHSCT,Urban,good_wellbeing,6.051911314809736e-4,0.06051911314809736
Males,75-110,Least Deprived,SHSCT,Urban,good_wellbeing,7.201774464623588e-4,0.07201774464623588
Females,75-110,Least Deprived,SHSCT,Urban,good_wellbeing,6.475545106846417e-4,0.06475545106846417
Males,16-34,Most Deprived,WHSCT,Urban,good_wellbeing,5.19104234047133e-4,0.051910423404713295
Females,16-34,Most Deprived,WHSCT,Urban,good_wellbeing,4.2557193962422605e-4,0.04255719396242261
Males,35-44,Most Deprived,WHSCT,Urban,good_wellbeing,5.23780848768278e-4,0.0523780848768278
Females,35-44,Most Deprived,WHSCT,Urban,good_wellbeing,4.302485543453713e-4,0.04302485543453713
Males,45-54,Most Deprived,WHSCT,Urban,good_wellbeing,4.910445457202609e-4,0.04910445457202609
Females,45-54,Most Deprived,WHSCT,Urban,good_wellbeing,4.1621871018193544e-4,0.04162187101819354
Males,55-64,Most Deprived,WHSCT,Urban,good_wellbeing,5.144276193259874e-4,0.051442761932598745
Females,55-64,Most Deprived,WHSCT,Urban,good_wellbeing,4.3024855434537157e-4,0.04302485543453716
Males,65-74,Most Deprived,WHSCT,Urban,good_wellbeing,5.331340782105687e-4,0.05331340782105687
Females,65-74,Most Deprived,WHSCT,Urban,good_wellbeing,4.676614721145343e-4,0.046766147211453425
Males,75-110,Most Deprived,WHSCT,Urban,good_wellbeing,5.565171518162959e-4,0.05565171518162959
Females,75-110,Most Deprived,WHSCT,Urban,good_wellbeing,5.003977751625515e-4,0.05003977751625515
Males,16-34,Quintile 2,WHSCT,Urban,good_wellbeing,5.774305524793952e-4,0.057743055247939525
Females,16-34,Quintile 2,WHSCT,Urban,good_wellbeing,4.733890114921168e-4,0.04733890114921168
Males,35-44,Quintile 2,WHSCT,Urban,good_wellbeing,5.826326295287592e-4,0.05826326295287592
Females,35-44,Quintile 2,WHSCT,Urban,good_wellbeing,4.7859108854148057e-4,0.047859108854148055
Males,45-54,Quintile 2,WHSCT,Urban,good_wellbeing,5.462180901832117e-4,0.05462180901832117
Females,45-54,Quintile 2,WHSCT,Urban,good_wellbeing,4.629848573933888e-4,0.04629848573933888
Males,55-64,Quintile 2,WHSCT,Urban,good_wellbeing,5.722284754300313e-4,0.05722284754300313
Females,55-64,Quintile 2,WHSCT,Urban,good_wellbeing,4.785910885414808e-4,0.047859108854148076
Males,65-74,Quintile 2,WHSCT,Urban,good_wellbeing,5.930367836274868e-4,0.059303678362748684
Females,65-74,Quintile 2,WHSCT,Urban,good_wellbeing,5.202077049363923e-4,0.052020770493639235
Males,75-110,Quintile 2,WHSCT,Urban,good_wellbeing,6.190471688743069e-4,0.06190471688743068
Females,75-110,Quintile 2,WHSCT,Urban,good_wellbeing,5.566222442819394e-4,0.05566222442819394
